2025-04-15 17:19:56 status half-installed dpkg:arm64 1.22.18ubuntu2
2025-04-15 17:19:56 status unpacked dpkg:arm64 1.22.18ubuntu2
2025-04-15 17:19:56 install e2fsprogs:arm64 <none> 1.47.2-1ubuntu1
2025-04-15 17:19:56 status half-installed e2fsprogs:arm64 1.47.2-1ubuntu1
2025-04-15 17:19:56 status unpacked e2fsprogs:arm64 1.47.2-1ubuntu1
2025-04-15 17:19:56 install findutils:arm64 <none> 4.10.0-3
2025-04-15 17:19:56 status half-installed findutils:arm64 4.10.0-3
2025-04-15 17:19:56 status unpacked findutils:arm64 4.10.0-3
2025-04-15 17:19:56 install gcc-14-base:arm64 <none> 14.2.0-19ubuntu2
2025-04-15 17:19:56 status half-installed gcc-14-base:arm64 14.2.0-19ubuntu2
2025-04-15 17:19:56 status unpacked gcc-14-base:arm64 14.2.0-19ubuntu2
2025-04-15 17:19:56 install gcc-15-base:arm64 <none> 15-20250404-0ubuntu1
2025-04-15 17:19:56 status half-installed gcc-15-base:arm64 15-20250404-0ubuntu1
2025-04-15 17:19:56 status unpacked gcc-15-base:arm64 15-20250404-0ubuntu1
2025-04-15 17:19:56 install grep:arm64 <none> 3.11-4build1
2025-04-15 17:19:56 status half-installed grep:arm64 3.11-4build1
2025-04-15 17:19:57 status unpacked grep:arm64 3.11-4build1
2025-04-15 17:19:57 install gzip:arm64 <none> 1.13-1ubuntu3
2025-04-15 17:19:57 status half-installed gzip:arm64 1.13-1ubuntu3
2025-04-15 17:19:57 status unpacked gzip:arm64 1.13-1ubuntu3
2025-04-15 17:19:57 install hostname:arm64 <none> 3.25
2025-04-15 17:19:57 status half-installed hostname:arm64 3.25
2025-04-15 17:19:57 status unpacked hostname:arm64 3.25
2025-04-15 17:19:57 install init-system-helpers:all <none> 1.68
2025-04-15 17:19:57 status half-installed init-system-helpers:all 1.68
2025-04-15 17:19:57 status unpacked init-system-helpers:all 1.68
2025-04-15 17:19:57 install libacl1:arm64 <none> 2.3.2-2
2025-04-15 17:19:57 status half-installed libacl1:arm64 2.3.2-2
2025-04-15 17:19:57 status unpacked libacl1:arm64 2.3.2-2
2025-04-15 17:19:57 install libattr1:arm64 <none> 1:2.5.2-3
2025-04-15 17:19:57 status half-installed libattr1:arm64 1:2.5.2-3
2025-04-15 17:19:57 status unpacked libattr1:arm64 1:2.5.2-3
2025-04-15 17:19:57 install libaudit-common:all <none> 1:4.0.2-2ubuntu2
2025-04-15 17:19:57 status half-installed libaudit-common:all 1:4.0.2-2ubuntu2
2025-04-15 17:19:57 status unpacked libaudit-common:all 1:4.0.2-2ubuntu2
2025-04-15 17:19:57 install libaudit1:arm64 <none> 1:4.0.2-2ubuntu2
2025-04-15 17:19:57 status half-installed libaudit1:arm64 1:4.0.2-2ubuntu2
2025-04-15 17:19:57 status unpacked libaudit1:arm64 1:4.0.2-2ubuntu2
2025-04-15 17:19:57 install libblkid1:arm64 <none> 2.40.2-14ubuntu1
2025-04-15 17:19:57 status half-installed libblkid1:arm64 2.40.2-14ubuntu1
2025-04-15 17:19:57 status unpacked libblkid1:arm64 2.40.2-14ubuntu1
2025-04-15 17:19:57 install libbsd0:arm64 <none> 0.12.2-2
2025-04-15 17:19:57 status half-installed libbsd0:arm64 0.12.2-2
2025-04-15 17:19:57 status unpacked libbsd0:arm64 0.12.2-2
2025-04-15 17:19:57 install libbz2-1.0:arm64 <none> 1.0.8-6
2025-04-15 17:19:57 status half-installed libbz2-1.0:arm64 1.0.8-6
2025-04-15 17:19:57 status unpacked libbz2-1.0:arm64 1.0.8-6
2025-04-15 17:19:57 install libc-bin:arm64 <none> 2.41-6ubuntu1
2025-04-15 17:19:57 status half-installed libc-bin:arm64 2.41-6ubuntu1
2025-04-15 17:19:57 status unpacked libc-bin:arm64 2.41-6ubuntu1
2025-04-15 17:19:57 upgrade libc6:arm64 2.41-6ubuntu1 2.41-6ubuntu1
2025-04-15 17:19:57 status half-configured libc6:arm64 2.41-6ubuntu1
2025-04-15 17:19:57 status unpacked libc6:arm64 2.41-6ubuntu1
2025-04-15 17:19:57 status half-installed libc6:arm64 2.41-6ubuntu1
2025-04-15 17:19:57 status unpacked libc6:arm64 2.41-6ubuntu1
2025-04-15 17:19:57 install libcap-ng0:arm64 <none> 0.8.5-4build1
